,Output gap*,"Potential output, EC **",Real output **,,,,,,,
30/06/2013,-3.4,14.78750752,14.75300468,,,,,,,
30/09/2013,-3.3,14.78957205,14.75610317,,,,,,,
31/12/2013,-3.2,14.79107176,14.75902233,,,,,,,
31/03/2014,-2.9,14.79231638,14.76307044,,,,,,,
30/06/2014,-2.9,14.79474757,14.76504725,,,,,,,
30/09/2014,-2.7,14.79743148,14.76975229,,,,,,,
31/12/2014,-2.6,14.80007189,14.77327693,,,,,,,
31/03/2015,-2.3,14.80255413,14.77965511,,,,,,,
30/06/2015,-2.1,14.80567217,14.78435991,,,,,,,
30/09/2015,-2.0,14.80841295,14.78842837,,,,,,,
31/12/2015,-1.8,14.81053036,14.79281983,,,,,,,
31/03/2016,-1.3,14.81224497,14.79875454,,,,,,,
30/06/2016,-1.3,14.8142933,14.80089514,,,,,,,
30/09/2016,-1.1,14.81721075,14.80578133,,,,,,,
31/12/2016,-0.7,14.82063852,14.81312486,,,,,,,
31/03/2017,-0.4,14.82398376,14.82044495,,,,,,,
30/06/2017,0.0,14.82771567,14.82810693,,,,,,,
30/09/2017,0.5,14.83118647,14.83594165,,,,,,,
31/12/2017,0.9,14.83421882,14.84347889,,,,,,,
31/03/2018,0.7,14.83683199,14.84387549,,,,,,,
30/06/2018,0.9,14.84009807,14.84911424,,,,,,,
30/09/2018,0.6,14.8432656,14.84932274,,,,,,,
31/12/2018,1.0,14.84613477,14.85577999,,,,,,,
31/03/2019,1.3,14.84916264,14.86221045,,,,,,,
30/06/2019,1.4,14.85204625,14.86555519,,,,,,,
30/09/2019,1.2,14.85522492,14.86716645,,,,,,,
31/12/2019,0.9,14.85862742,14.86745806,,,,,,,
31/03/2020,-2.6,14.85975601,14.83335407,,,,,,,
30/06/2020,-13.8,14.86121685,14.71288093,,,,,,,
30/09/2020,-3.5,14.86281277,14.82692631,,,,,,,
31/12/2020,-3.6,14.863292,14.82635048,,,,,,,
31/03/2021,-3.5,14.86430187,14.82844008,,,,,,,
30/06/2021,-1.8,14.86642133,14.84824435,,,,,,,
30/09/2021,0.0,14.86905503,14.86935194,,,,,,,
31/12/2021,0.3,14.87238086,14.87488483,,,,,,,
31/03/2022,0.5,14.87578048,14.88096174,,,,,,,
30/06/2022,1.0,14.87914627,14.88904969,,,,,,,
30/09/2022,1.0,14.8828144,14.89281372,,,,,,,
31/12/2022,0.6,14.88672654,14.8931146,,,,,,,
31/03/2023,0.4,14.89056924,14.89420053,,,,,,,
30/06/2023,0.2,14.89463032,14.89678994,,,,,,,
30/09/2023,-0.1,14.89818057,14.89677755,,,,,,,
* As pecentage of real GDP,,,,,,,,,,
** Level data in Logs,,,,,,,,,,
Original sources EC Ameco database and Eurostat,,,,,,,,,,
ECB staff calculations (interpolation of the EC annual figures of potential to quarterly frequency),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
